"","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","mean_hires","hour_pred","day_pred","temp_rounded","temp_pred","hum_rounded","hum_pred","year_pred","season_pred","workday_pred","weathersit_pred"
"11",14,"2011-01-01",1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,189.294933716987,66.1902147978645,0.178738950629814,0.5,9.70992835427652,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"12",17,"2011-01-01",1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,189.294933716987,128.995882609544,0.178738950629814,0.4,-28.8800053072801,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"13",19,"2011-01-01",1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,189.294933716987,238.653214431161,0.178738950629814,0.4,-28.8800053072801,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-55.2474463615831
"14",20,"2011-01-01",1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,189.294933716987,122.614840719103,0.178738950629814,0.4,-28.8800053072801,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-55.2474463615831
"15",21,"2011-01-01",1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,189.294933716987,38.2859486359542,0.178738950629814,0.4,-28.8800053072801,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"16",22,"2011-01-01",1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,189.294933716987,-22.5067563770855,0.178738950629814,0.4,-28.8800053072801,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"17",23,"2011-01-01",1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,189.294933716987,-56.4508090167471,0.178738950629814,0.4,-28.8800053072801,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"18",24,"2011-01-01",1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,189.294933716987,-100.297396771174,0.178738950629814,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"19",25,"2011-01-02",1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,189.294933716987,-135.023747276309,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"20",26,"2011-01-02",1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,189.294933716987,-157.619258041311,-12.7492381871949,0.4,-28.8800053072801,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"21",28,"2011-01-02",1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,189.294933716987,-176.811994084441,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"22",29,"2011-01-02",1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,189.294933716987,-183.193106040747,-12.7492381871949,0.5,9.70992835427652,0.9,-36.9262319700655,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"23",30,"2011-01-02",1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,189.294933716987,-109.183245405299,-12.7492381871949,0.4,-28.8800053072801,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,-55.2474463615831
"24",31,"2011-01-02",1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,189.294933716987,20.2606218385686,-12.7492381871949,0.4,-28.8800053072801,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"25",34,"2011-01-02",1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,189.294933716987,-19.670873566611,-12.7492381871949,0.4,-28.8800053072801,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"26",35,"2011-01-02",1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,189.294933716987,20.9481855490681,-12.7492381871949,0.4,-28.8800053072801,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,2.1370743605406,-2.01663270456385
"27",39,"2011-01-02",1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,189.294933716987,59.973831416185,-12.7492381871949,0.3,-57.5653813621468,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,-55.2474463615831
"28",40,"2011-01-02",1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,189.294933716987,128.995882609544,-12.7492381871949,0.3,-57.5653813621468,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,2.1370743605406,-55.2474463615831
"29",41,"2011-01-02",1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,189.294933716987,271.820829829811,-12.7492381871949,0.3,-57.5653813621468,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"30",43,"2011-01-02",1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,189.294933716987,122.614840719103,-12.7492381871949,0.3,-57.5653813621468,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"31",45,"2011-01-02",1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,189.294933716987,-22.5067563770855,-12.7492381871949,0.3,-57.5653813621468,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"32",46,"2011-01-02",1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,189.294933716987,-56.4508090167471,-12.7492381871949,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"33",47,"2011-01-02",1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,189.294933716987,-100.297396771174,-12.7492381871949,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"34",48,"2011-01-03",1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,189.294933716987,-135.023747276309,-7.80393066770263,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"35",51,"2011-01-03",1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,189.294933716987,-168.255909326743,-7.80393066770263,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"36",53,"2011-01-03",1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,189.294933716987,20.2606218385686,-7.80393066770263,0.1,-84.5487606459356,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"37",54,"2011-01-03",1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,189.294933716987,168.00627110229,-7.80393066770263,0.1,-84.5487606459356,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"38",55,"2011-01-03",1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,189.294933716987,27.8899004062358,-7.80393066770263,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"39",57,"2011-01-03",1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,189.294933716987,20.9481855490681,-7.80393066770263,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"40",59,"2011-01-03",1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,189.294933716987,66.1902147978645,-7.80393066770263,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"41",61,"2011-01-03",1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,189.294933716987,59.973831416185,-7.80393066770263,0.3,-57.5653813621468,0.3,4.90872102927088,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"42",62,"2011-01-03",1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,189.294933716987,128.995882609544,-7.80393066770263,0.3,-57.5653813621468,0.3,4.90872102927088,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"43",64,"2011-01-03",1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,189.294933716987,238.653214431161,-7.80393066770263,0.2,-88.1134716530571,0.3,4.90872102927088,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"44",65,"2011-01-03",1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,189.294933716987,122.614840719103,-7.80393066770263,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"45",66,"2011-01-03",1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,189.294933716987,38.2859486359542,-7.80393066770263,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"46",67,"2011-01-03",1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,189.294933716987,-22.5067563770855,-7.80393066770263,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"47",68,"2011-01-03",1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,189.294933716987,-56.4508090167471,-7.80393066770263,0.1,-84.5487606459356,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"48",70,"2011-01-04",1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,189.294933716987,-135.023747276309,0.466791607530132,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"49",71,"2011-01-04",1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,189.294933716987,-157.619258041311,0.466791607530132,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"50",72,"2011-01-04",1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,189.294933716987,-166.275656608553,0.466791607530132,0.1,-84.5487606459356,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"51",73,"2011-01-04",1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,189.294933716987,-183.193106040747,0.466791607530132,0.1,-84.5487606459356,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"52",75,"2011-01-04",1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,189.294933716987,-109.183245405299,0.466791607530132,0.1,-84.5487606459356,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"53",76,"2011-01-04",1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,189.294933716987,20.2606218385686,0.466791607530132,0.1,-84.5487606459356,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"54",78,"2011-01-04",1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,189.294933716987,27.8899004062358,0.466791607530132,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"55",79,"2011-01-04",1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,189.294933716987,-19.670873566611,0.466791607530132,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"56",80,"2011-01-04",1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,189.294933716987,20.9481855490681,0.466791607530132,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"57",81,"2011-01-04",1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,189.294933716987,64.623985201932,0.466791607530132,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"58",82,"2011-01-04",1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,189.294933716987,66.1902147978645,0.466791607530132,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"59",83,"2011-01-04",1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,189.294933716987,50.2491468875471,0.466791607530132,0.3,-57.5653813621468,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"60",84,"2011-01-04",1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,189.294933716987,59.973831416185,0.466791607530132,0.3,-57.5653813621468,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"61",87,"2011-01-04",1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,189.294933716987,238.653214431161,0.466791607530132,0.3,-57.5653813621468,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"62",89,"2011-01-04",1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,189.294933716987,38.2859486359542,0.466791607530132,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"63",90,"2011-01-04",1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,189.294933716987,-22.5067563770855,0.466791607530132,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"64",92,"2011-01-04",1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,189.294933716987,-100.297396771174,0.466791607530132,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"65",93,"2011-01-05",1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,189.294933716987,-135.023747276309,5.91367535123775,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"66",94,"2011-01-05",1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,189.294933716987,-157.619258041311,5.91367535123775,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"67",96,"2011-01-05",1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,189.294933716987,-183.193106040747,5.91367535123775,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"68",103,"2011-01-05",1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,189.294933716987,20.9481855490681,5.91367535123775,0.3,-57.5653813621468,0.3,4.90872102927088,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"69",105,"2011-01-05",1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,189.294933716987,66.1902147978645,5.91367535123775,0.3,-57.5653813621468,0.3,4.90872102927088,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"70",107,"2011-01-05",1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,189.294933716987,59.973831416185,5.91367535123775,0.3,-57.5653813621468,0.3,4.90872102927088,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"71",111,"2011-01-05",1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,189.294933716987,122.614840719103,5.91367535123775,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"72",112,"2011-01-05",1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,189.294933716987,38.2859486359542,5.91367535123775,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"73",115,"2011-01-05",1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,189.294933716987,-100.297396771174,5.91367535123775,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"74",117,"2011-01-06",1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,189.294933716987,-157.619258041311,8.0614287458281,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"75",120,"2011-01-06",1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,189.294933716987,-168.255909326743,8.0614287458281,0.1,-84.5487606459356,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"76",122,"2011-01-06",1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,189.294933716987,20.2606218385686,8.0614287458281,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"77",124,"2011-01-06",1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,189.294933716987,27.8899004062358,8.0614287458281,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"78",125,"2011-01-06",1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,189.294933716987,-19.670873566611,8.0614287458281,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"79",126,"2011-01-06",1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,189.294933716987,20.9481855490681,8.0614287458281,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"80",128,"2011-01-06",1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,189.294933716987,66.1902147978645,8.0614287458281,0.3,-57.5653813621468,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"81",130,"2011-01-06",1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,189.294933716987,59.973831416185,8.0614287458281,0.3,-57.5653813621468,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"82",131,"2011-01-06",1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,189.294933716987,128.995882609544,8.0614287458281,0.3,-57.5653813621468,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"83",132,"2011-01-06",1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,189.294933716987,271.820829829811,8.0614287458281,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"84",134,"2011-01-06",1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,189.294933716987,122.614840719103,8.0614287458281,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"85",135,"2011-01-06",1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,189.294933716987,38.2859486359542,8.0614287458281,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"86",137,"2011-01-06",1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,189.294933716987,-56.4508090167471,8.0614287458281,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"87",140,"2011-01-07",1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,189.294933716987,-157.619258041311,6.57721126897779,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"88",141,"2011-01-07",1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,189.294933716987,-166.275656608553,6.57721126897779,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"89",142,"2011-01-07",1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,189.294933716987,-183.193106040747,6.57721126897779,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"90",144,"2011-01-07",1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,189.294933716987,-109.183245405299,6.57721126897779,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"91",145,"2011-01-07",1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,189.294933716987,20.2606218385686,6.57721126897779,0.2,-88.1134716530571,0.7,7.17255397102485,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"92",146,"2011-01-07",1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,189.294933716987,168.00627110229,6.57721126897779,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"93",149,"2011-01-07",1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,189.294933716987,20.9481855490681,6.57721126897779,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"94",151,"2011-01-07",1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,189.294933716987,66.1902147978645,6.57721126897779,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"95",152,"2011-01-07",1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,189.294933716987,50.2491468875471,6.57721126897779,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"96",153,"2011-01-07",1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,189.294933716987,59.973831416185,6.57721126897779,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"97",155,"2011-01-07",1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,189.294933716987,271.820829829811,6.57721126897779,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
"98",157,"2011-01-07",1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,189.294933716987,122.614840719103,6.57721126897779,0.2,-88.1134716530571,0.6,11.3161242527334,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"99",158,"2011-01-07",1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,189.294933716987,38.2859486359542,6.57721126897779,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"100",159,"2011-01-07",1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,189.294933716987,-22.5067563770855,6.57721126897779,0.2,-88.1134716530571,0.5,6.67149009129869,-42.5077154316291,-26.8412320823393,-1.00334705329519,7.65827939577592
"101",160,"2011-01-07",1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,189.294933716987,-56.4508090167471,6.57721126897779,0.2,-88.1134716530571,0.4,20.6514475184918,-42.5077154316291,-26.8412320823393,-1.00334705329519,-2.01663270456385
